winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Dow's,Fine Ruby Port N.V.,Fortified Wine,Portugal,3.7,2564,15.95,100% Touriga Nacional,,"Port wine Christmas calendar 2019. 2 December. Blend of several young rubies aged in oak casks for an average of 3 year. 19% alcohol. Dark opaque ruby red color. Appealing red fruit driven aromas with fresh and youthful appearance. Notes of raspberry cherry nuts blackberry cinnamon chocolate oak prune honey balsamic. Bold powerful intense velvet taste in combination with a long long finish. Good acidity and tannic bite with perfect balanced sweetness.,When in Porto... lovely ruby color, intense sweet flavour plenty of mature red fruits. Not my cup of tea but I did enjoy it very much.,This port is a good option if you are looking for a fruity port that isn’t heavy. It’s lighter on the tongue with a burst of raspberry flavors."
Lustau,East India Solera Sherry N.V.,Fortified Wine,Spain,4.0,2423,22.99,100% Pedro Ximenez,,"FOC Dinner w/Sherry pairing (#4/4) Had this sweeter style of Sherry more than three years ago (3.5*). This time a solid 4* No formal tasting notes. Well-balanced.,👁 medium bronze burnt sugar colour 👃 concentrated prune 👅 rich mouth coating with medium intensity walnut flavours complimented by nice sweetness. 📝 spends 3 years in a solera,The perfect drink for converting port-lovers to sweet oloroso. Nose of sweet black treacle, coffee and gentle flor. Palate of creme caramel, toffee and orange. Balanced sweetness with solid acidity, much like a decent late bottled vintage port. Smooth, long boozy hit. This oak aged blend of dry oloroso and pedro ximinez doesn't have the rich, viscous indulgence of sweet oloroso icons like Matusalem, but is probably all the more accessible for it. Risk £8-£10 and give it a go, you might well love it."
Château de la Roulerie,Coteaux du Layon 2017,Dessert wine,France,4.1,94,,Chenin Blanc,,"Medium gold with 👃 apricot, tangerine 🍊 peach 🍑 and honey 🍯 aromas. 👅 ripe and candied apricots with ginger and fresh clementine with a lemon 🍋 and honey 🍯 drizzle. Full bodied, sweet but balanced with high acidity, rich silky mouthfeel, 11.5% alcohol. Delicious with smoked salmon, créme fraiche and potato pancakes 🥞! From Coteaux du Layon AOC, which mandates only sweet wines of Chenin Blanc.,Deep amber. Butter, papaya, pepper, Apricot, peach, mango, pencil sharpenings, gibger; honey, marble and red grapefruit finish.,Good wine with nice sweetness and acidity. Very nice with the desert as the wine isn’t too sweet. Nice citrus acidity, honey, flowers, tropical."
Maison Foucher,Cuvée de Roys de Naples Crémant de Loire N.V.,Sparkling wine,France,4.0,146,18,100% Pinot Noir,,"Really lovely cremant which I had as an aperitif at Minettas Tavern in NYC. Notes of citrus, apple, cantaloupe and toast. Really fresh and crisp.,A very nice Crémant de Loire. Very fresh, stringent and full bodied. The taste has ripe fruit like red apples with a hint of lemon, but still very dry and pleasant in taste.,Quality driven and a focused wine. Strawberry, strong pyrazines of green peppers on the nose. On the palate green and yellow apple, underripe peach and wet straw. Short lived on the follow through but structure and acidity has you taking another sip in short order. 4/5"
Marco Carpineti,Kius Brut 2014,Sparkling wine,Italy,4.0,141,29.95,Bellone,,"Wow what a tasty bubbly at this price grab a case.,Apple, strong effervescence,Marco Carpineti! Top nel Lazio no words!"
Bernardus,Chardonnay 2017,White wine,United States,4.2,932,31.99,100% Chardonnay,14.5,"👀 straw yellow color 👃 caramel, vanilla, oak, butter 👅 butter, very soft, banana, passion fruit, very delicate All in all fantastic californian chardonnay,Really good. Vanilla, oak (but not overwhelming), little butter but with enough acidity and fruit to express balance. Nice with soft cheeses, as well as chicken, fish and pasta dishes.,On the nose there’s strong aroma of melon, apple, grapefruit and surprisingly a relatively mild buttery hint; on the palate it’s crisp with high acid, lemon and grapefruit then peach and butter and vanilla. A very balanced and enjoyable Chardonnay."
Argyle,Brut Rosé 2015,Sparkling wine,United States,4.0,36,36.71,100% Pinot Noir,12.5,"Smells of peony or citrus blossom, cherry. The color is interesting - a pale salmon/copper (my wife said it looks like Miss Dior perfume). High acidity, nice and dry and light. Tastes of tart rhubarb and stawberries.,Nice vintage brut rose from Argyle in Willamette Valley. Bright fruit, strawberries and citrus on the nose with crisp acidity, tart green apple, and lemon on the palate. I was hoping for a little more yeast or complexity like a vintage Champagne, but there’s not much to be found here. Still a nice domestic sparkling option for sure.,Wild strawberry, melon, and lime nose. Medium high acidity. Strawberry, lemon, and tart green apple. 3.9⭐️"
Château de Berne,Romance Rosé 2020,Rosé wine,France,4.2,113,16.31,100% Grenache,,"Really light and easy drinking. Perfect for a hot day. Mild acid and modest fruitiness with strawberry and peach. Not sweet though,Obviously fruity, strawberry and peach, slight idea of bubble gum, not too sweet. Not my favorite but my folks liked it :), so .. very good choice for summer,Great rose for sunny days. Strawberry, peach and raspberry"
José Pariente,Verdejo 2020,White wine,Spain,4.3,225,18.99,100% Verdejo,,"Full of pears & apples aroma, with notes of peach. Light citrus bitterness in the taste, minerality and good balance. Superb Price/quality ratio.,New vintage 2020! Fresh fruit on the nose, Granny Smith apple, peach,citrus, green herbs, minerality, medium bodied palate, with very pure and clear fruit flavors, fresh and elegant, pleasant acidity, very nice Verdejo ! 90 DSP,José Pariente is a big name Verdejo but for a good reason. Pear, green apple, lemon, white flowers and minerals. Fresh and elegant go-to Verdejo."
Bisol,Crede Valdobbiadene Prosecco Superiore Brut 2018,Sparkling wine,Italy,4.0,546,20.95,100% Glera,11.5,"A quite structured label belies what is held within. My branding colleagues would suggest that a more austere and robust wine is to come your way. Fortunately not. Elegant and refined with a modicum of sweetness.,Excellent prosecco! 👍🏻 Fresh and fruity, but at the same time soft and enveloping. Green apple, pear, lime, and soft notes of straw and honey. Good balance both on the nose and on the palate, where it maintains excellent drinkability.,Maybe not the bottle you would pick if you live in the Veneto region but...if you are Venetian and you are living abroad... it's like a Mirage! If you are lucky you can find it in some great Italian airports...if you are even more lucky you can find it in some good wineshops in NY...for sure it will be overpriced but at least you know your are drinking a real Prosecco! Don't even try to buy it for preparing Spritz...a Venetian will die the moment you do it ;-) !"
Marenco,Pineto Brachetto d'Acqui 2019,Sparkling wine,Italy,4.1,32,19.99,100% Brachetto,5.5,"It smells a little spicy. It tastes a bit like a mulled wine for summer. Sweet and refreshing.,Re strawberry cherry,My first red wine. As someone who has never had alcohol trying this after Moscato DAsti, my comparison is too Moscato which I’ve rated very highly. This tasted slightly more dense than the Asti. For me, it is a good back up."
Vignalta,Moscato L.H. 2016,Dessert wine,Italy,4.3,44,,Moscato,,"Apricots and honey. Very good and sweet :),As if the rain dropped down the leaves of the orange tree and into your glass..."
Gavalas,Voudomato 2018,Rosé wine,Greece,4.0,36,36.99,,,"2018. Had this at the winery and brought home a bottle. Full bodied rosé, stewed fruit on the nose, moderate acidity, bing cherries and strawberries on the palate.,Another one rare variety of Santorini, Voudomato (""eye of the ox"" because the grape looks like that) in a nice rosé vinification. Fruity nose of red fruit, cherry, pomegranate and butter caramel. Medium acidity, very refreshing. Nice aftertaste.,Gavalas winery wine tasting #4. Voudomato is another rare indigenous variety of the island and Gavalas is the only producer that uses this varietal (100%) for production of rose wine. Salmon color with aromas of pomegranate, cherry and strawberry. Medium body, impressively complex palate and long finish. One of the two good rose I drank in Santorini. 9️⃣0️⃣"
Victoria Ordoñez,La Ola del Melillero Pedro Ximenez - Moscatel de Alejandría 2016,Fortified Wine,Spain,4.0,98,16.99,"Pedro Ximenez, Moscatel de Alejandría",,"Stone fruit and peach on the nose. Light acidity. Little bit of bitterness. Lift minerality. Little bit of lemon and lime. Light finish. Would drink again.,Our first Malaga. Light and very fruity, yet dry. Edelflower, lots, and honey,Special and bold. Quite a refreshing white wine."
Sandeman,Fine Rich Madeira N.V.,Fortified Wine,Portugal,3.8,316,21,"Tinta Barroca, Verdelho, Sercial, Touriga Francesa, Boal Branco, Tinta Negra Mole, Malvasia, Touriga Nacional",17.5,"Fifty-six traitors signed a document 244 years ago that rocked the World. Those same men drank Madeira that evening knowing full well that they could be drawn and quartered the next day. Madeira a nearly indestructible wine was the only thing that could survive the long ship journey to the Americas. Those 56 men are like Madeira, indestructible in World History, ushering in Freedom and Liberty where only abuse from Government existed. Today, as on every 4th, we raise a glass to these brave patriots.,Great introductory example for those who have never had Madeira before, and a nice everyday drinker for those that are already fans. Brown in color, medium bodied and smooth mouthfeel. Aromas and flavors of hazelnuts, raisins, dried apricots and chocolate. Its sweetness is balanced with salivating acidity, and it finishes with raisins, caramel and coffee.,Raisins, dried figs, orange peel, caramel, vanilla, and cloves. Maderia is a fortified dessert wine, but it paired well with savory roasted pumpkin."
Ramos Pinto,Quinta de Ervamoira 10 Year Old Tawny Port N.V.,Fortified Wine,Portugal,4.1,3424,39,"Tinta Cão, Tinta Roriz",,"Fruitcake and brandy nose. Rich juicy raisins and plums on the palette. Sublime tawny port that would work very well at Christmas time.,Dark ruby colour, the obligatory sweet raisins all the way through. Some caramel and vanilla in a long finish. Great glass of tawny."
Stella Rosa,Imperiale Moscato N.V.,Sparkling wine,Italy,4.2,398,24.99,100% Moscato Bianco,,"Slightly sparkling with hint of minerals. Crisp but yet Sweet and fruity, notes of ripe figs to begin; slight acidity to follow and ends with honey sweetness lingering in your throat."
Barker's Marque,3 Brooms Single Vineyard Sauvignon Blanc 2019,White wine,New Zealand,4.2,441,16.37,100% Sauvignon Blanc,12.8,"Bursting with fruit, lemon, and Apple! The first Marlboro Sav’ that I’ve tasted with a hint of crisp apple - and I love it! Gentle approach, Balanced acidity, lingering finish. Great!,Italian Vine Summer Wine Face Off - France vs New World Round 2 at The Normandy with Nat, Jessica, Anna, Emma & Matt 8/20/2020. New world selection to compare to Bordeaux Blanc. Consensus of the table was we liked this one the best. Unique NZSB in that in remains in contact with leaves 3 months after fermentation for structure don't normally see in a NZSB. Citrus, passion fruit & lovely light minerality. $17,Once in a while a Marlborough SB will really distinguish itself and this is one of them. My first impression was that it scoops the mids with more mineral and acid than fruit and grass. It’s a bit deeper than that and another essential for fans of NZSB."
Van Duzer,Saffron Fields Vineyard Pinot Noir 2014,Red wine,United States,4.3,33,32.99,,,"No secret, I love Van Duzer Pinots. Saffron Fields ‘14 is full of cherry and strawberry, while maintaining the forest floor, earthy notes that make Oregon Pinot unique. This is as complex a Pinot as I’ve had in a while.,Outstanding. Lots of red fruit—cherry, strawberry, raspberry, maybe a hint of pomegranate—but it also features forest notes: woody pine, mushroom, a bit of earthy forest floor. The finish is lightly spicy with touches of black pepper. Long (-) length, smooth, with very gentle tannins that allow the forest notes to shine through. Well-structured and just impressive all around. Julia and I enjoyed this one on date night; it was delicious on its own, but it also paired well with a nice filet. 11.15.18,Beautiful Oregon Pinot Noir. Light body, medium low fruit, goes really well with duck"
Ultimate Provence,UP Rosé 2018,Rosé wine,France,4.0,351,19.99,100% Grenache,,"A resurgence of warm fall weather, “Indian summer” is here in Winnipeg for the next 10 days! Bring out the summer wines you failed to crack!😹 This is surprising good! Soft, delicate and nuanced. Light strawberry, melon, pronounced white flowers, hint if herbs and lovely minerality! Beautiful bottle too! Cheers!,Summer returned today and plans to be here all week. Not a huge pink guy but this 💯 % Grenache fit the plan with 🍣 and swimming. Not sure it’s the ultimate but definitely palate refreshing. Watermelon , raspberry in a mineral acidity sheen. Delicate but has some depth. Cool bottle design. Solid 3.8 ⭐️ with the 🌞 boost.,Little bit of confusing nose. Maybe grapefruit. Nice sweet initial taste with a crisp dry-like finish. Champagne? Nice rose."
Tikveš,Bela Voda Red 2017,Red wine,Macedonia,4.3,79,27.99,100% Vranac,14.5,"Great, but give it time to open. Full, tannic, complex. Blackberries, fig, prunes, subtle spiciness. Pairs well with Persian grill.,Blend of 50% Vranec and 50% Plavec. ABV 14.5. Tikves Winery began producing back in 1885. Darkest 🟣 in color. Nose: Barnyard, Spice,Dark Fruit and Cocoa. Really has a rich and fruity structure to it. Decant time 90 minutes. Blackberry and plum fruit, followed by pepper, fig, cinnamon. High tannins that promote a long finish of mocha, vanilla, nut and leather. Mild oak and silky smooth. Think Cary Grant on a first date smooth! My first North Macedonian wine. Solid 4.5. Cheers 🥂 from 80° sunny Arizona,If you want to finish the night with strong powerfull wine there is no mistake with this one!"
Kracher,Cuvée Auslese 2011,Dessert wine,Austria,3.8,194,27.99,Welschriesling,,"Flowery and not as sweet as the smell which suggest syrupy hit. Not so. Fresh and with heavy acidity.,Peach, flower aromas, pleasantly ballanced sweet wine,Not has honied as it's German counterpart, and exhibits a slightly grassy, leaner profile. Delicious, especially for the price. Consider with alpine cheeses or a custard."
Ohlig Sekt,50. N Brut Weiss N.V.,Sparkling wine,Germany,4.1,49,20,"Riesling, Sylvaner, Müller-Thurgau",,"Citrus, crisp and acidic. Lemon zest and interesting bubbles. Described as foamy in tasting notes- sounds weird but is pretty applicable.,Pear, white grapefruit, apples, lemon, medium acidity but a little creamy. Refreshing with a nice floral aroma plus a little musk. Really small bubbles.,Drank at home with salmon. From Vernick wine club."
Château Raymond-Lafon,Sauternes 2009,Dessert wine,France,4.3,258,46.99,100% Sémillon,,"Apricots limes and orange peel. Sweet but not over sweet. Good acidity. Love tasting these fine dessert wines.,Tropical fruits, vanilla oak, perfect balance and long length with high acidity. Liquor is rich but not too sweet. Excellent.,Utterly gorgeous, amazing depth, rich, sweet but glorious cleansing acidity to finish. Pineapple, butterscotch, toffee, fudge, just hedonistic and unctuous, nectar of the gods. Stunning."
Domaine du Salvard,Cheverny Rosé 2016,Rosé wine,France,4.0,110,9.95,"Pinot Noir, Gamay",,"I was worried about the blend, but then voila the worry dame to an end - typical berries, dry over sweet, some slate on the finish. C’est Bon!,Acidic, lively, every swish of the glass opens it up more. Strawberries and maybe melon or tropical fruit on the nose. Very impressive rosè.,This rosé is all about balance & subtlety. Palate: dry & tart. Balanced meeting of grapefruits & strawberries reinforced with mineral touches & white pepper notes in the finish. Appealing yet subtle nose highlighting aromas pairing strawberries & saline along with whiffs of lime zest. Thank you Kermit Lynch! And, Happy 2018 from all my Vivino pals from whom I'm always learning!"
Bartenura,Piemonte Brachetto 2016,Dessert wine,Italy,4.2,35,17.99,100% Brachetto,,"Strong bouquet of rose petal and Turkish delight. Pleasant, medium full mouthfeel with semi sweet sugar and flavors of strawberry, cream, and rose water. Great value.,Excellent red. Vanilla butter notes then sophisticated berries. A hint of plum and new aged leather. First time trying Brechetto. I love this wine! From my favorite region Piemonte! Ah Piemonte!,Effervescent very enjoyable Light in color crisp citrus Would buy again very tasty Green apple touch of pineapple"
Sandeman,Late Bottled Vintage Port 2014,Fortified Wine,Portugal,4.1,390,36.99,"Touriga Nacional, Touriga Franca, Tinta Roriz",,"Very smooth. Though, being honest has a strange acrid cut across the nose; almost rusty. Plums and spices on the way down. Absence of sweetness. I’d be tempted to drink this ad a glass of...wine. Don’t read the cover on this book- but take it to that JK Rowling cafe and swig it surreptitiously from your handbag 🍷,A: deep ruby, N: med + intensity: black cherry, cassis, plum, jammy, charwood, smoke, wet leaves, forest floor, tobacco, chocolate, coffee, P: sweet, high acidity, med + tannins fine grained and ripe, high alcohol, full body. long finish. pronounced intensity: black cherry, cassis, plum, jammy, charwood, smoke, wet leaves, forest floor, tobacco, chocolate, coffee, Q: Outstanding. Suitable for bottle ageing.,Pleasant surprise among the LBVs. Intense ruby color, plum, pepper, berries and chocolate flavor. Long and bold. Great catch for 15€"
Karas,Reserve Winemaker's Selection Blend 2015,Red wine,Armenia,4.4,184,38,"Shiraz/Syrah, Petit Verdot, Montepulciano, Ancellotta",,"WOW. Need to decant but once awakened it is full of blackberry, blueberries, and earthy. Medium tannins, Brownish-red with an acidic kick but soften with time.,Fantastic wine, combination of nose, palate, aftertaste, structure and full mouth. Dark fruit, cherry and oak on the nose, vanilla and oak on the palate, with medium tannins and low acidity.,Intense wine! A decent vintage. Similar to a big Napa red and a Bordeaux blend. Aromatic with notes of black cherry, vanilla, red berries, blackberries and oak! Tannins very smooth now on the palate with hints of mulberry, plum, pepper and chocolate. Definitely has potential to evolve into a bigger wine in the coming years!"
Zuccardi,José Malbec 2015,Red wine,Argentina,4.2,994,36.99,100% Malbec,14.5,"Silk & rich tannings describes the firsts when enters in mouth ( dark chocolate plum smoke balsamic licorice mint violet fig). It has a very good complexity overall.,Medium ruby. 95% Malbec from single site which is harvested by soil type and 5% CS from high calcerious soil to improve structure. Ferment in concrete then 100% goes to large format oak fuders for 6-10 months depending on vintage. This was a rainy and cold vintage. Has a touch of iodine flavour with fruit from 15 year old vines. Show cases the diversity of Malbec. Supple elegant 4.25 Stars.,A really top Malbec. Super easy to drink, great weight and plum chocolate. Well worth the money 🍷🍷🍷🍷🍷🍷🍷👍🏻👍🏻🍷"
Muga,Flor de Muga Rosado 2017,Rosé wine,Spain,3.9,249,29.99,100% Garnacha,,"Rioja Weekend Brunch #3/7 - Perfect brunch drop! This rosé took our brunch to the next level. Quality drop. 100% Garnacha 📖made from the free-run juice, with a short period maceration, only 50% is used in the wine. Fermentation in small wooden vats. fermented at low temperature with fine lees for a minimum of 4 months 📙my notes: Pale salmon. Dry. Vibrant. High acidity. Peach. Strawberry. Floral. Hint of zest.,For £18 this is a fabulous buy for summer refreshment with elegance & complexity @ a great price 😁 📍 Flor de Muga Rioja Rose 2017 🏵 91 points 🍇 100% Garnacha 🍷 Pale blossom pink 👃 Peach & citrus through chalky minerals w/ red fruits, white blossom & a touch of fuel 👄 Med body of refreshing creamy peach & zesty citrus w/ a soft red fruit tone in med+ acidity 🎯 Med+ dry mineral chalky red fruit, peach & citrus zingy refreshing tongue dryer 🌞 Paired with Sunshine & a smile 😎,100% Garnacha 👀 Pale pink👃 Medium intensity and it is youthful. The aromas are of lemon, strawberry, rose pedal, and wet stone 👅 The wine is dry with medium(+) acidity, light tannin, medium alcohol, and medium body. It has a medium intensity and a medium finish. The flavors are of lemon, rose pedals, and wet stone 🧠 The wine is very good. Drink now, not suitable for aging. Possibly the best rose wine in Spain. Provence style (direct press)."
Lamberti,Rosé (Extra Dry) N.V.,Sparkling wine,Italy,4.0,806,13.99,"Pinot Noir, Pinot Nero, Pinot Blanc",11.5,"Unshakably friendly. A lovely bottle that was a wonderful way to kiss goodbye to a god-awful year. Soft fruit. Light and very drinkable,Little bit of berries up front, touch of citrus and slightly sweet finish"
St. Michael-Eppan,Sanct Valentin Comtess Passito 2011,Dessert wine,Italy,4.3,72,33.99,"Riesling, Sauvignon Blanc, Gewürztraminer",,"A beautiful wine! Dried Gewurztraminer from Alto Adige. Bergamot orange marmalade, ginger, lychee in syrup ,dried apricots, honeysuckle nectar, quince .....beautiful acidity that carries the wine to eternity! This is a gem I found 5 years ago in the Dolomites. I wish I bought a case!,Intense Gold. Candied exotic. Honey. Apricot. Full body. Nice sweet structure. Just like nose. Long fruity spicy persistence.,Fantastic sweet wine, aromatic, fresh, great and elegant nose, flowers, honey and exptoc fruits. Colour is golden, persistence is fine and long, you can't stop drinking it."
Achaval-Ferrer,Quimera 2017,Red wine,Argentina,4.4,271,42,Malbec,,"A blend of 50% Malbec, 22% Merlot, 22% Cab Sauv & 6% Cab Franc, aged in French oak 50/50 new & 1 year old, combining fruit from Luján de Cuyo and the Uco Valley. Deep Ruby with aromas of dark fruit, earthy and floral spice. On the palate flavors of blackberry and tart cherry flavors, with licorice, citrus and herb spice. Fine tannins, well balanced long finish ending with tart fruit and an earthy mineral character. Nice!,Awesome red blend! Malbec, Cab Franc, Cab Sauvignon and Merlot. Rich and bold! Chocolate, oak and spices. If I was you I’ve try! Highly recommend!,Clear, dark, purple Clean, pronounced intensity, oak leather tobacco blackberry plum chocolate earthy blueberry pepper smoke Dry, high acid, high tannins full body, long finish oak leather tobacco blackberry plum chocolate earthy pepper smoke"
Siesta,Single Vineyard Malbec 2016,Red wine,Argentina,4.3,255,37.99,100% Malbec,,"Nose: leather, cigar, stewed red fruit. Palate: dry, tannins are present, rhubarb and dark chocolate.,Great 🇦🇷 Malbec experience!! Very authentic and full bodied!! 4.2 ⭐️ 👁 ruby almost violet ... 👃 powerful notes with oak vanilla chocolate tobacco coffee black fruit plum black cherry blueberry jam red fruit leather smoke 👅 great body, medium acidity, low alcohol and smooth tannins!! Long end!! Great wine!! Cheers my friends! Enjoy the week!! 🍷🍷🍇🍇👍😉,Great wine for a cigar or if you are just in that mood. Tobacco nose with some slight fruit notes. As my wife says... a mans wine."
Tullia,Brut Rosé N.V.,Sparkling wine,Italy,4.2,68,11.99,"Chardonnay, Pinot Noir",,"Showy rose petal pink in the glass, with a dry and punchy body of sour cherry, orange peel, rhubarb and hibiscus. The rare high drama rosé that manages to elevate an almost tropical medley of barely-ripe fruit with zesty citrus and a dash of bitters.,Dry, floral, wish it had more aggresive bubbles but very nice.,Very rich and smooth. Beautiful pink color. Fruit forward. Low tannin and acid. Bing cherry and granite stone."
Gloria Ferrer,Anniversary Cuvée 2010,Sparkling wine,United States,4.1,53,33.99,"Pinot Noir, Chardonnay",12.5,"Clear Pale Yellow green Effervescent Medium bubbles Clean Medium aroma Apple toast Pear Vanilla Peach Brioche Yeast Developing Dry Apple Peach toast Apple toast Honey Vanilla Medium + body Medium + acid Medium-alcohol Medium + duration Balanced Drink now Suitable for aging Elegant cuvée Notes indicate 67% Pinot Noir and 33% Chardonnay,This was nice - better than the Royal Cuvée today.,Really good, apples, pears, butter and toast."
Mi Mi en Provence,Grande Réserve Rosé 2020,Rosé wine,France,3.9,161,18.99,"Shiraz/Syrah, Grenache",,"BULLS EYE !!! What a surprisingly fresh and tasty one 👍🏼 Had the pleasure of tasting it over a spicy carribean dish and what a feast it was 👍🏼😋,Raspberries with hints of lemon and lime. I preferred it with food rather than on its own.,Very decent. Taste of peach, strawberry, little citrus. Colour is quite salmon like. Available at OBriens Wines."
Château Rieussec,Carmes de Rieussec Sauternes 2007,Dessert wine,France,4.1,156,36.99,,,"Wow. This is yummy. Brilliantly smooth, with a touch of acid that could probably still use another year or two to smooth out. Notes of honey and apricot.,Minerals with fading sweetness. Salted caramel and raisins. Great blue cheese pairing.,Intense aroma of apricot, dried tangerine, honey, dried fig with some shoe polish nose after adequate aeration. Sweet, medium plus acidity, gorgeous palate, medium plus body. Nice to pair blue cheese and nuts."
